Date Time,03 Jul 2020 19:56:34
File Name,default
Adjacent Channels Ratio,1
Reference Charge,142
Calibration Factor,1
Facility,BluePhysics
Investigator,Marcos
Integration Time,300
Operational Mode,Integartor
Source,LINAC
Brand,Varian
Particles,Photons
Energy,6
Dose Rate,500
Gantry,0
Collimator,0
Couch,270
Field Size X1,1.5
Field Size X2,20
Field Size Y1,1.5
Field Size Y2,1.5
Setup,SAD
Distance,100
MU,100
Sensor 0 Position X,0
Sensor 0 Position Y,0
Sensor 0 Position Z,0
Sensor 1 Position X,0
Sensor 1 Position Y,0
Sensor 1 Position Z,0
Sensor 2 Position X,0
Sensor 2 Position Y,0
Sensor 2 Position Z,0
Sensor 3 Position X,0
Sensor 3 Position Y,0
Sensor 3 Position Z,0
Comments,Testing the new adquisition board
time,temp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,PS,-12V,5V,refV
0.6,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
0.9,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
1.2,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
1.5,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
1.8,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
2.1,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
2.4,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
2.7,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
3.0,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
3.3,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
3.6,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
3.9,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
4.2,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
4.5,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
4.8,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
5.1,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
5.4,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
5.7,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
6.0,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
6.3,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
6.6,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
6.9,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
7.2,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
7.5,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
7.8,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
8.1,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
8.4,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
8.7,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
9.0,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
9.3,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
9.6,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
9.9,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
10.2,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
10.5,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
10.8,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
11.1,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
11.4,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
11.7,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
12.0,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
12.3,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
12.6,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
12.9,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
13.2,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
13.5,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
13.8,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
14.1,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
14.4,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
14.7,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
15.0,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
15.3,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
15.6,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
15.9,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
16.2,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
16.5,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
16.8,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
17.1,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
17.4,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
17.7,27.0000,13567,27967,7167,22207,3967,10367,5567,16767,25474,26737,23105,25682
18.0,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
18.3,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
18.6,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
18.9,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
19.2,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
19.5,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
19.8,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
20.1,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
20.4,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
20.7,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
21.0,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
21.3,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
21.6,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
21.9,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
22.2,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
22.5,27.0000,32127,29567,32447,31807,26367,31807,30847,31167,25474,26737,23105,25682
